MCT_NM,MCT_TYPE,latitude,longitude,ADDR,LOCAL_UE_CNT_RAT,MONTH
금선,단품요리 전문,33.4990697,126.5285019,제주 제주시 이도이동 1769-9번지 2층,91.2,07월
일품왕솥뚜껑,가정식,33.5070466,126.5409195,제주 제주시 일도이동 369-18번지,91.2,03월
루스트플레이스 인제점,양식,33.5052833,126.5416055,제주 제주시 일도이동 409-7번지 1층,91.2,05월
화북신안,가정식,33.5209592,126.5680588,제주 제주시 화북일동 1968-23번지 1층,91.2,02월
곱창이야기일도점,단품요리 전문,33.5020222,126.5455475,제주 제주시 일도이동 70-3번지,91.19,07월
산촌오리외도점,단품요리 전문,33.4890828,126.4304212,제주 제주시 외도일동 495-7번지,91.19,06월
7번가피자제주이도점,피자,33.4964933,126.5386345,제주 제주시 이도이동 1070번지 1층,91.18,02월
7번가피자제주이도점,피자,33.4964933,126.5386345,제주 제주시 이도이동 1070번지 1층,91.18,04월
남문숯불바베큐엔치킨일도직영점,치킨,33.5023628,126.5425101,제주 제주시 이도이동 408-6번지 은경빌딩 102호,91.18,12월
자리왓식당,가정식,33.4896469,126.4340442,제주 제주시 외도일동 485-4번지,91.18,09월
삼화왕갈비,가정식,33.5147733,126.5740751,제주 제주시 화북일동 1017-2번지 B동,91.18,02월
정든공간,가정식,33.4989633,126.5252575,제주 제주시 도남동 915번지,91.18,02월
돌돌이숯불갈비,가정식,33.4884199,126.5000133,제주 제주시 연동 322-3번지 1층,91.18,10월
우주곰커피 연동점,커피,33.4898488,126.4865581,제주 제주시 연동 251-57번지 1층,91.18,04월
정든공간,가정식,33.4989633,126.5252575,제주 제주시 도남동 915번지,91.18,03월
신맵도리네,단품요리 전문,33.4866162,126.4313932,제주 제주시 외도일동 549-8번지,91.18,11월
우본가해장국,단품요리 전문,33.5131131,126.5803718,제주 제주시 도련일동 1992-1번지 1층,91.18,02월
주민상회,가정식,33.4960307,126.5271146,제주 제주시 도남동 918-15번지 1층,91.16,02월
달콤왕가탕후루 삼화점,세계 요리,33.5164423,126.5810067,제주 제주시 도련일동 1937-5번지 1층,91.16,09월
미쓰신아강발,단품요리 전문,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,91.15,05월
승쁨당삼화지구점,베이커리,33.5173015,126.5882779,제주 제주시 삼양이동 2332-7번지 1층,91.14,03월
한라생얼큰이,가정식,33.5024432,126.5422186,제주 제주시 이도이동 408-13번지,91.14,06월
춤추는식탁,가정식,33.4890847,126.4317722,제주 제주시 외도일동 505-10번지 외도일동,91.14,02월
토대력올레점,꼬치구이,33.5023628,126.5425101,제주 제주시 이도이동 408-6번지,91.14,08월
서흘포가든,가정식,33.5246268,126.58725,제주 제주시 삼양일동 1658-4번지,91.14,12월
금조,가정식,33.5086479,126.5441272,제주 제주시 일도이동 400-19번지,91.13,11월
돈삼겹삼화3호점,단품요리 전문,33.5198382,126.5822958,제주 제주시 삼양이동 2176-12번지 1층,91.13,02월
또오리,단품요리 전문,33.2590705,126.5691464,제주 서귀포시 동홍동 588-22번지,91.12,03월
인자숯불갈비,가정식,33.484629,126.5297762,제주 제주시 도남동 222-5번지 1층,91.12,03월
남문숯불바베큐엔치킨도남점,치킨,33.4962693,126.5269732,제주 제주시 도남동 918-7번지 1층,91.12,01월
동홍소량,가정식,33.2570804,126.5733377,제주 서귀포시 동홍동 107-10번지,91.12,06월
심심포차,가정식,33.498947,126.5348631,제주 제주시 이도이동 1136-15번지 1층,91.11,12월
토대력올레점,꼬치구이,33.5023628,126.5425101,제주 제주시 이도이동 408-6번지,91.11,03월
백스비어 제주인제점,맥주/요리주점,33.5027737,126.5428036,제주 제주시 일도이동 49-3번지 1층,91.11,10월
천하육회일도,단품요리 전문,33.5021391,126.5431964,제주 제주시 일도이동 68-7번지,91.11,06월
천하육회일도,단품요리 전문,33.5021391,126.5431964,제주 제주시 일도이동 68-7번지,91.1,07월
제라진국밥,가정식,33.5076471,126.5251434,제주 제주시 이도일동 1702-10번지,91.09,04월
다시또오리,단품요리 전문,33.5008369,126.5445249,제주 제주시 일도이동 72-6번지,91.09,03월
금조,가정식,33.5086479,126.5441272,제주 제주시 일도이동 400-19번지,91.08,09월
인자숯불갈비2호점,가정식,33.4985158,126.5457077,제주 제주시 일도이동 109-15번지,91.08,02월
노형삼다오리,단품요리 전문,33.4895066,126.4800604,제주 제주시 노형동 1070-10번지,91.08,05월
심심포차,가정식,33.498947,126.5348631,제주 제주시 이도이동 1136-15번지 1층,91.08,09월
토대력올레점,꼬치구이,33.5023628,126.5425101,제주 제주시 이도이동 408-6번지,91.08,06월
통큰국밥,가정식,33.4900161,126.4338057,제주 제주시 외도일동 485-8번지 1층,91.08,02월
냉동고 일도점,단품요리 전문,33.505409,126.5414399,제주 제주시 일도이동 409-6번지 1층,91.08,12월
춤추는식탁,가정식,33.4890847,126.4317722,제주 제주시 외도일동 505-10번지 외도일동,91.08,01월
봄날의춘천,가정식,33.4865591,126.474232,제주 제주시 노형동 2614-1번지 1층,91.07,03월
또오리,단품요리 전문,33.2590705,126.5691464,제주 서귀포시 동홍동 588-22번지,91.07,02월
남문숯불바베큐치킨 삼화점,치킨,33.5200838,126.5731444,제주 제주시 화북일동 11-2번지 1층,91.07,07월
남문숯불바베큐엔치킨도남점,치킨,33.4962693,126.5269732,제주 제주시 도남동 918-7번지 1층,91.07,12월
한라생얼큰이,가정식,33.5024432,126.5422186,제주 제주시 이도이동 408-13번지,91.07,02월
대패랑 도남점,단품요리 전문,33.4909557,126.5285807,제주 제주시 도남동 66-4번지,91.06,11월
인자숯불갈비2호점,가정식,33.4985158,126.5457077,제주 제주시 일도이동 109-15번지,91.06,01월
오라오라,단품요리 전문,33.2590092,126.5559045,제주 서귀포시 서홍동 345-3번지 1층,91.06,08월
대패랑 도남점,단품요리 전문,33.4909557,126.5285807,제주 제주시 도남동 66-4번지,91.05,07월
김준호의대단한갈비 제주월랑점,단품요리 전문,33.4913094,126.4803763,제주 제주시 연동 1953-7번지 1층,91.05,07월
인생극장 제주삼화점,단품요리 전문,33.5170911,126.5769265,제주 제주시 화북일동 1004-2번지 1층,91.05,03월
우원,가정식,33.5031494,126.5425707,제주 제주시 일도이동 48-8번지,91.05,06월
독불장군,가정식,33.5053453,126.5402632,제주 제주시 일도이동 380-2번지 1층,91.04,06월
별난술집,단품요리 전문,33.5023982,126.5474597,제주 제주시 일도이동 74번지 1층,91.04,04월
창영왕족발,단품요리 전문,33.4995715,126.5461311,제주 제주시 일도이동 86-3번지,91.03,02월
송송숯불두마리치킨앤곱꼬닭,가정식,33.4962659,126.5265362,제주 제주시 도남동 909-9번지 1층,91.03,06월
돈삼겹삼화점,단품요리 전문,33.5165735,126.5767169,제주 제주시 화북일동 1005-3번지 1층,91.02,06월
동광생오리집,단품요리 전문,33.5007768,126.5476323,제주 제주시 일도이동 89-7번지,91.02,08월
김준호의대단한갈비 제주용담점,단품요리 전문,33.5094609,126.5100921,제주 제주시 용담이동 624-8번지 1층 1호,91.02,05월
돈삼겹삼화점,단품요리 전문,33.5165735,126.5767169,제주 제주시 화북일동 1005-3번지 1층,91.01,08월
식사준비 제주노형점,단품요리 전문,33.4861341,126.4746917,제주 제주시 노형동 2613-1번지 1동 102호,91.01,10월
동홍소량,가정식,33.2570804,126.5733377,제주 서귀포시 동홍동 107-10번지,91.01,07월
서울빈대떡,단품요리 전문,33.4991032,126.5297519,제주 제주시 이도이동 408-5번지,91.01,01월
오라동자담치킨,치킨,33.4882301,126.5119798,제주 제주시 오라이동 1479번지 1층,91.01,02월
남문숯불바베큐치킨 삼화점,치킨,33.5200838,126.5731444,제주 제주시 화북일동 11-2번지 1층,91.01,06월
남문숯불바베큐치킨 삼화점,치킨,33.5200838,126.5731444,제주 제주시 화북일동 11-2번지 1층,91.0,02월
금화,가정식,33.5121358,126.5118195,제주 제주시 용담이동 359-76번지 1층,91.0,02월
돈삼겹삼화점,단품요리 전문,33.5165735,126.5767169,제주 제주시 화북일동 1005-3번지 1층,91.0,05월
찬미숯불갈비,단품요리 전문,33.5201484,126.5796134,제주 제주시 삼양이동 2146-2번지,91.0,12월
얄개,단품요리 전문,33.5020734,126.5434758,제주 제주시 일도이동 68-1번지 2층,90.99,02월
본가,단품요리 전문,33.4912754,126.5285424,제주 제주시 도남동 66-1번지,90.98,10월
알에프(RF),가정식,33.498539,126.53095,제주 제주시 이도이동 1180-3번지 2층,90.97,01월
불닭공장삼화점,단품요리 전문,33.5176494,126.5777102,제주 제주시 화북일동 18-1번지,90.97,05월
토대력올레점,꼬치구이,33.5023628,126.5425101,제주 제주시 이도이동 408-6번지,90.97,02월
대패랑 도남점,단품요리 전문,33.4909557,126.5285807,제주 제주시 도남동 66-4번지,90.97,09월
금조,가정식,33.5086479,126.5441272,제주 제주시 일도이동 400-19번지,90.97,07월
우리정육구이,가정식,33.5023625,126.5419296,제주 제주시 이도이동 407-6번지,90.97,12월
천도두루치기,가정식,33.5034318,126.5450357,제주 제주시 일도이동 53-7번지 1층,90.97,12월
아이스크림상회(베라체점),디저트/간식,33.4941713,126.5477284,제주 제주시 이도이동 1955-3번지 103호,90.96,05월
삼다통닭화북점,치킨,33.5176435,126.5766643,제주 제주시 화북일동 15-1번지 1호,90.95,12월
천하육회일도,단품요리 전문,33.5021391,126.5431964,제주 제주시 일도이동 68-7번지,90.95,09월
남문숯불바베큐엔치킨도남점,치킨,33.4962693,126.5269732,제주 제주시 도남동 918-7번지 1층,90.95,05월
빨간집삼화지구점,가정식,33.514786,126.5760546,제주 제주시 화북일동 1023-1번지 1층,90.95,01월
해와달삼계탕,단품요리 전문,33.5071769,126.5409865,제주 제주시 일도이동 369-16번지,90.94,03월
철가방,중식,33.5206982,126.5813706,제주 제주시 삼양이동 2164-6번지,90.94,12월
샤브마니아제주외도점,단품요리 전문,33.4857793,126.4270054,제주 제주시 외도일동 626-1번지 2층,90.94,05월
제주태원,가정식,33.5089538,126.5389729,제주 제주시 일도이동 330-14번지 1층,90.93,06월
한라생얼큰이,가정식,33.5024432,126.5422186,제주 제주시 이도이동 408-13번지,90.93,07월
용용선생제주일도점,맥주/요리주점,33.5014815,126.5430532,제주 제주시 이도이동 409-3번지,90.93,08월
심심포차,가정식,33.498947,126.5348631,제주 제주시 이도이동 1136-15번지 1층,90.93,08월
노형삼조삼계탕,단품요리 전문,33.4872061,126.4810644,제주 제주시 노형동 1296-9번지,90.91,07월
하이,단품요리 전문,33.5027513,126.5420289,제주 제주시 이도이동 408-17번지 지하1층,90.91,06월
남문숯불바베큐앤치킨외도점,치킨,33.4908613,126.4304497,제주 제주시 외도일동 445-3번지 1층,90.91,10월
금선,단품요리 전문,33.4990697,126.5285019,제주 제주시 이도이동 1769-9번지 2층,90.91,12월
새아침해장국,단품요리 전문,33.511785,126.5797988,제주 제주시 도련일동 2191-9번지 1층,90.91,12월
맥주당,맥주/요리주점,33.5171205,126.5799811,제주 제주시 도련일동 1938-1번지 1층,90.91,03월
양반집,가정식,33.5038706,126.5376576,제주 제주시 이도이동 318-1번지,90.91,06월
설맥 일도점,단품요리 전문,33.502191,126.5426146,제주 제주시 이도이동 408-7번지 1층,90.91,01월
큰나무집,가정식,33.5107011,126.5120193,제주 제주시 용담이동 358-17번지 큰나무집,90.91,11월
미미쿡제주이도점,단품요리 전문,33.4943283,126.5449527,제주 제주시 이도이동 1948-7번지 1층,90.91,01월
표선얼큰이와 피자디노 동흥점,피자,33.2559692,126.5751145,제주 서귀포시 동홍동 421-2번지,90.91,06월
7번가피자제주이도점,피자,33.4964933,126.5386345,제주 제주시 이도이동 1070번지 1층,90.91,05월
또오리,단품요리 전문,33.2590705,126.5691464,제주 서귀포시 동홍동 588-22번지,90.91,01월
유일무이,단품요리 전문,33.5021391,126.5431964,제주 제주시 일도이동 68-7번지,90.91,09월
서귀포일터나눔 지역자활센터 - 엄블랑디,가정식,33.2523903,126.5575943,제주 서귀포시 서귀동 330-25번지 서귀동,90.91,02월
화초,가정식,33.5017579,126.5319207,제주 제주시 이도이동 1174-18번지 2층,90.91,11월
제주태원,가정식,33.5089538,126.5389729,제주 제주시 일도이동 330-14번지 1층,90.91,10월
미쓰신아강발,단품요리 전문,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,90.91,02월
수다뜰떡방,디저트/간식,33.4900066,126.4780175,제주 제주시 노형동 1051-13번지,90.91,11월
해돋이,단품요리 전문,33.2582692,126.5522481,제주 서귀포시 서홍동 1531-1번지,90.91,10월
주민상회,가정식,33.4960307,126.5271146,제주 제주시 도남동 918-15번지 1층,90.91,01월
자담치킨호프카페제주아라점,치킨,33.4746149,126.5449142,제주 제주시 아라일동 6095-10번지 1층,90.91,09월
양반집,가정식,33.5038706,126.5376576,제주 제주시 이도이동 318-1번지,90.91,07월
캐리어에어콘제주총판,단품요리 전문,33.4868951,126.5250146,제주 제주시 도남동 ,90.91,07월
화초,가정식,33.5017579,126.5319207,제주 제주시 이도이동 1174-18번지 2층,90.91,08월
고랑몰라,가정식,33.5179042,126.5889643,제주 제주시 도련이동 515-1번지 2동 1층 북측상가,90.91,08월
오복돈,가정식,33.4970386,126.5348154,제주 제주시 이도이동 1052-3번지 1층,90.91,05월
이리와,단품요리 전문,33.5032152,126.5419849,제주 제주시 이도이동 408-1번지 이도이동,90.91,05월
루팡,단품요리 전문,33.4908043,126.4913085,제주 제주시 연동 271-39번지 1층,90.91,09월
토대력올레점,꼬치구이,33.5023628,126.5425101,제주 제주시 이도이동 408-6번지,90.9,04월
아이스크림상회(베라체점),디저트/간식,33.4941713,126.5477284,제주 제주시 이도이동 1955-3번지 103호,90.88,10월
돈우랑,가정식,33.5081754,126.5397649,제주 제주시 일도이동 354-30번지 1층,90.86,12월
다시또오리,단품요리 전문,33.5008369,126.5445249,제주 제주시 일도이동 72-6번지,90.86,06월
오라동자담치킨,치킨,33.4882301,126.5119798,제주 제주시 오라이동 1479번지 1층,90.86,04월
오거리포차,맥주/요리주점,33.4955308,126.5267958,제주 제주시 도남동 908-4번지,90.85,08월
금조,가정식,33.5086479,126.5441272,제주 제주시 일도이동 400-19번지,90.85,08월
인자숯불갈비2호점,가정식,33.4985158,126.5457077,제주 제주시 일도이동 109-15번지,90.85,04월
남문숯불바베큐치킨 삼화점,치킨,33.5200838,126.5731444,제주 제주시 화북일동 11-2번지 1층,90.85,08월
미쓰신아강발,단품요리 전문,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지,90.84,06월
백스비어 제주인제점,맥주/요리주점,33.5027737,126.5428036,제주 제주시 일도이동 49-3번지 1층,90.84,07월
빨간집베라체점,가정식,33.4930002,126.5437069,제주 제주시 이도이동 1965-14번지 1층,90.83,07월
으뜸이아이스크림할인점남녕점,디저트/간식,33.4913254,126.482932,제주 제주시 연동 1959-2번지 일품아파트 지하 1호,90.83,11월
바르메본점,단품요리 전문,33.4861631,126.4763984,제주 제주시 노형동 1284-13번지 1층,90.83,04월
돈삼겹삼화3호점,단품요리 전문,33.5198382,126.5822958,제주 제주시 삼양이동 2176-12번지 1층,90.82,03월
김자매아구찜,단품요리 전문,33.4960687,126.5246422,제주 제주시 도남동 906-1번지 1층,90.82,02월
폭풍장어용담점,단품요리 전문,33.5108996,126.5117954,제주 제주시 용담이동 358-20번지 1층,90.82,06월
노가리앤비어용담점,맥주/요리주점,33.5097727,126.5063907,제주 제주시 용담이동 629-4번지 1층,90.82,12월
아이스크림상회(베라체점),디저트/간식,33.4941713,126.5477284,제주 제주시 이도이동 1955-3번지 103호,90.82,04월
김가네이도점,분식,33.4929335,126.5473827,제주 제주시 이도이동 1956번지 한일베라체아파트 601동 107호,90.81,07월
또오리,단품요리 전문,33.2590705,126.5691464,제주 서귀포시 동홍동 588-22번지,90.81,04월
김밥꼬순내,분식,33.492706,126.544682,제주 제주시 아라이동 3005-1번지,90.81,02월
본가,단품요리 전문,33.4912754,126.5285424,제주 제주시 도남동 66-1번지,90.8,08월
제주도고기오빠,단품요리 전문,33.500242,126.5460795,제주 제주시 일도이동 82-4번지,90.8,01월
남문숯불바베큐엔치킨도남점,치킨,33.4962693,126.5269732,제주 제주시 도남동 918-7번지 1층,90.8,11월
냉동고 일도점,단품요리 전문,33.505409,126.5414399,제주 제주시 일도이동 409-6번지 1층,90.8,11월
동광생오리집,단품요리 전문,33.5007768,126.5476323,제주 제주시 일도이동 89-7번지,90.8,04월
제주돈갈매기,가정식,33.5031139,126.5414725,제주 제주시 이도이동 406-1번지,90.8,02월
루스트 삼화점,양식,33.5144701,126.5754506,제주 제주시 화북일동 1023-5번지,90.8,12월
연가갈비,가정식,33.4917448,126.5292012,제주 제주시 도남동 65-8번지,90.8,06월
샤브마니아제주외도점,단품요리 전문,33.4857793,126.4270054,제주 제주시 외도일동 626-1번지 2층,90.79,06월
바르메본점,단품요리 전문,33.4861631,126.4763984,제주 제주시 노형동 1284-13번지 1층,90.79,07월
화산양꼬치2호점,꼬치구이,33.4986438,126.5298742,제주 제주시 이도이동 1768-30번지 2층,90.79,01월
차곡,가정식,33.4902673,126.4979834,제주 제주시 연동 311-46번지 제주특별자치도교육청 지하,90.79,01월
다시또오리,단품요리 전문,33.5008369,126.5445249,제주 제주시 일도이동 72-6번지,90.79,04월
교촌치킨 오라점,치킨,33.4903484,126.5184436,제주 제주시 오라일동 982-1번지 1층,90.79,12월
천보식당,가정식,33.2521338,126.5590742,제주 서귀포시 서귀동 303-2번지,90.79,11월
노가리앤비어삼도점,맥주/요리주점,33.5009487,126.5177058,제주 제주시 삼도일동 516-10번지 1층,90.79,10월
부가네얼큰이일도점,가정식,33.4944343,126.5482049,제주 제주시 이도이동 1951-10번지 102호,90.78,04월
남문숯불바베큐엔치킨도남점,치킨,33.4962693,126.5269732,제주 제주시 도남동 918-7번지 1층,90.78,03월
7번가피자제주이도점,피자,33.4964933,126.5386345,제주 제주시 이도이동 1070번지 1층,90.78,07월
아이스크림상회(베라체점),디저트/간식,33.4941713,126.5477284,제주 제주시 이도이동 1955-3번지 103호,90.78,12월
우원,가정식,33.5031494,126.5425707,제주 제주시 일도이동 48-8번지,90.78,04월
불닭공장신산점,단품요리 전문,33.5092023,126.5333256,제주 제주시 일도이동 1019-20번지,90.77,04월
삼화배달통,중식,33.5167018,126.579111,제주 제주시 도련일동 1963-13번지,90.77,01월
진산원,가정식,33.4947098,126.5279935,제주 제주시 도남동 84-17번지 1층,90.77,08월
화북코끼리만두,분식,33.5215274,126.5666179,제주 제주시 화북일동 1966-18번지,90.77,10월
곱창이야기일도점,단품요리 전문,33.5020222,126.5455475,제주 제주시 일도이동 70-3번지,90.77,05월
김가네이도점,분식,33.4929335,126.5473827,제주 제주시 이도이동 1956번지 한일베라체아파트 601동 107호,90.77,08월
동홍소량,가정식,33.2570804,126.5733377,제주 서귀포시 동홍동 107-10번지,90.77,08월
인생극장 제주삼화점,단품요리 전문,33.5170911,126.5769265,제주 제주시 화북일동 1004-2번지 1층,90.76,05월
쌍팔련도,가정식,33.5020734,126.5434758,제주 제주시 일도이동 68-1번지 1층,90.76,08월
해와달삼계탕,단품요리 전문,33.5071769,126.5409865,제주 제주시 일도이동 369-16번지,90.76,04월
천하육회일도,단품요리 전문,33.5021391,126.5431964,제주 제주시 일도이동 68-7번지,90.76,08월
막창먹는놈일도점,단품요리 전문,33.5013312,126.5436909,제주 제주시 일도이동 68-12번지,90.76,02월
인생극장 제주삼화점,단품요리 전문,33.5170911,126.5769265,제주 제주시 화북일동 1004-2번지 1층,90.76,06월
매니아  불닭  용담점,단품요리 전문,33.5096322,126.5107696,제주 제주시 용담이동 623-23번지,90.76,12월
불닭공장삼화점,단품요리 전문,33.5176494,126.5777102,제주 제주시 화북일동 18-1번지,90.74,04월
송키,가정식,33.4920128,126.5294454,제주 제주시 도남동 74-2번지,90.74,11월
김밥꼬순내,분식,33.492706,126.544682,제주 제주시 아라이동 3005-1번지,90.74,01월
인자숯불갈비2호점,가정식,33.4985158,126.5457077,제주 제주시 일도이동 109-15번지,90.73,03월
남문숯불바베큐엔치킨도남점,치킨,33.4962693,126.5269732,제주 제주시 도남동 918-7번지 1층,90.72,04월
표선얼큰이와 피자디노 동흥점,피자,33.2559692,126.5751145,제주 서귀포시 동홍동 421-2번지,90.72,11월
제주돈갈매기,가정식,33.5031139,126.5414725,제주 제주시 이도이동 406-1번지,90.72,08월
다시또오리,단품요리 전문,33.5008369,126.5445249,제주 제주시 일도이동 72-6번지,90.72,05월
인생극장 제주삼화점,단품요리 전문,33.5170911,126.5769265,제주 제주시 화북일동 1004-2번지 1층,90.71,08월
남문숯불바베큐엔치킨도남점,치킨,33.4962693,126.5269732,제주 제주시 도남동 918-7번지 1층,90.71,07월
주식회사 냉삼,단품요리 전문,33.5029833,126.5426735,제주 제주시 일도이동 48-9번지 1층,90.71,03월
표선제주닭집 삼화점,단품요리 전문,33.5179042,126.5889643,제주 제주시 도련이동 515-1번지,90.71,08월
백스비어 제주인제점,맥주/요리주점,33.5027737,126.5428036,제주 제주시 일도이동 49-3번지 1층,90.7,02월
캐리어에어콘제주총판,단품요리 전문,33.4868951,126.5250146,제주 제주시 도남동 ,90.7,06월
제주돈갈매기,가정식,33.5031139,126.5414725,제주 제주시 이도이동 406-1번지,90.7,03월
도남오거리외도점,가정식,33.4887143,126.4338758,제주 제주시 외도일동 533-2번지,90.7,12월
식사준비 제주노형점,단품요리 전문,33.4861341,126.4746917,제주 제주시 노형동 2613-1번지 1동 102호,90.7,11월
양푼왕갈비,가정식,33.4861014,126.4754153,제주 제주시 노형동 1061-2번지,90.7,04월
제주도고기오빠,단품요리 전문,33.500242,126.5460795,제주 제주시 일도이동 82-4번지,90.7,03월
더조은치킨코리아점,치킨,33.2519336,126.569252,제주 서귀포시 동홍동 430-40번지 1층,90.7,01월
한라생얼큰이,가정식,33.5024432,126.5422186,제주 제주시 이도이동 408-13번지,90.7,01월
루스트플레이스 인제점,양식,33.5052833,126.5416055,제주 제주시 일도이동 409-7번지 1층,90.69,06월
꼬까삐,패스트푸드/간단한 식사,33.496231,126.5271407,제주 제주시 도남동 918-14번지,90.69,04월
꼬까삐,패스트푸드/간단한 식사,33.496231,126.5271407,제주 제주시 도남동 918-14번지,90.69,12월
김가네이도점,분식,33.4929335,126.5473827,제주 제주시 이도이동 1956번지 한일베라체아파트 601동 107호,90.69,05월
아이스크림할인점(동홍점),디저트/간식,33.2589835,126.5725263,제주 서귀포시 동홍동 62-3번지,90.69,08월
아이스크림할인점(동홍점),디저트/간식,33.2589835,126.5725263,제주 서귀포시 동홍동 62-3번지,90.69,12월
돈삼겹삼화점,단품요리 전문,33.5165735,126.5767169,제주 제주시 화북일동 1005-3번지 1층,90.68,07월
불닭공장신산점,단품요리 전문,33.5092023,126.5333256,제주 제주시 일도이동 1019-20번지,90.68,02월
갑부보쌈,단품요리 전문,33.4958382,126.5275148,제주 제주시 도남동 922-31번지 1층,90.67,10월
빨간집베라체점,가정식,33.4930002,126.5437069,제주 제주시 이도이동 1965-14번지 1층,90.67,05월
아이스크림상회(베라체점),디저트/간식,33.4941713,126.5477284,제주 제주시 이도이동 1955-3번지 103호,90.66,11월
황재돈,가정식,33.4871301,126.4317189,제주 제주시 외도일동 551-1번지 고전빌라 102호,90.66,04월
다희네민물장어,단품요리 전문,33.4861127,126.4272503,제주 제주시 외도일동 537-4번지 1층,90.66,04월
천하육회일도,단품요리 전문,33.5021391,126.5431964,제주 제주시 일도이동 68-7번지,90.66,05월
과수원집,가정식,33.5074841,126.5462798,제주 제주시 건입동 113번지,90.65,10월
화북옛통치킨,치킨,33.5198152,126.5658504,제주 제주시 화북일동 1986-3번지,90.65,03월
남문숯불바베큐엔치킨도남점,치킨,33.4962693,126.5269732,제주 제주시 도남동 918-7번지 1층,90.65,06월
버킹업인제3호점,단품요리 전문,33.5065673,126.54094,제주 제주시 일도이동 377-2번지 1층,90.65,10월
일오삼가든,단품요리 전문,33.5202538,126.5669942,제주 제주시 화북일동 1987번지,90.65,08월
김준호의대단한갈비 제주아라점,단품요리 전문,33.4764274,126.5447546,제주 제주시 아라일동 6103-7번지 1층,90.64,01월
천도두루치기,가정식,33.5034318,126.5450357,제주 제주시 일도이동 53-7번지 1층,90.64,11월
언니네,가정식,33.4959925,126.5267923,제주 제주시 도남동 908-9번지,90.64,12월
오라동자담치킨,치킨,33.4882301,126.5119798,제주 제주시 오라이동 1479번지 1층,90.64,01월
탐라본가,가정식,33.5123903,126.5387469,제주 제주시 일도이동 132-44번지 1층,90.64,11월
화북신안,가정식,33.5209592,126.5680588,제주 제주시 화북일동 1968-23번지 1층,90.64,11월
돈삼겹삼화점,단품요리 전문,33.5165735,126.5767169,제주 제주시 화북일동 1005-3번지 1층,90.63,04월
제주창스닥,단품요리 전문,33.485501,126.4970826,제주 제주시 연동 304-17번지 1층,90.62,07월
황재돈,가정식,33.4871301,126.4317189,제주 제주시 외도일동 551-1번지 고전빌라 102호,90.62,03월
제라진국밥,가정식,33.5076471,126.5251434,제주 제주시 이도일동 1702-10번지,90.62,01월
인생극장,단품요리 전문,33.5053453,126.5402632,제주 제주시 일도이동 380-2번지 1층,90.62,11월
동광생오리집,단품요리 전문,33.5007768,126.5476323,제주 제주시 일도이동 89-7번지,90.62,06월
삼화배달통,중식,33.5167018,126.579111,제주 제주시 도련일동 1963-13번지,90.61,02월
서서 아이스크림 할인점,디저트/간식,33.4895447,126.4771983,제주 제주시 노형동 1051-5번지 노형위더스빌15차 102호,90.61,12월
돈앤삼겹,단품요리 전문,33.4912843,126.4807258,제주 제주시 연동 1953-11번지 1층,90.61,10월
통큰국밥,가정식,33.4900161,126.4338057,제주 제주시 외도일동 485-8번지 1층,90.61,03월
아이스크림할인점(동홍점),디저트/간식,33.2589835,126.5725263,제주 서귀포시 동홍동 62-3번지,90.6,11월
금조,가정식,33.5086479,126.5441272,제주 제주시 일도이동 400-19번지,90.6,06월
아이스크림상회(베라체점),디저트/간식,33.4941713,126.5477284,제주 제주시 이도이동 1955-3번지 103호,90.59,03월
남문숯불바베큐치킨 삼화점,치킨,33.5200838,126.5731444,제주 제주시 화북일동 11-2번지 1층,90.59,12월
성아네갈비,가정식,33.257226,126.5752571,제주 서귀포시 동홍동 105-3번지,90.59,11월
촘고기공작소  촘닭갈비,단품요리 전문,33.5133772,126.5727648,제주 제주시 화북이동 829-1번지 1층,90.59,04월
식사준비제주외도점,단품요리 전문,33.4873654,126.4307022,제주 제주시 외도일동 541-12번지 1층,90.59,06월
바르메본점,단품요리 전문,33.4861631,126.4763984,제주 제주시 노형동 1284-13번지 1층,90.58,12월
해와달삼계탕,단품요리 전문,33.5071769,126.5409865,제주 제주시 일도이동 369-16번지,90.58,05월
동홍옛날통닭,치킨,33.2570768,126.5744454,제주 서귀포시 동홍동 106-5번지,90.58,11월
노형삼다오리,단품요리 전문,33.4895066,126.4800604,제주 제주시 노형동 1070-10번지,90.58,02월
매니아  불닭  용담점,단품요리 전문,33.5096322,126.5107696,제주 제주시 용담이동 623-23번지,90.58,11월
삼화왕갈비,가정식,33.5147733,126.5740751,제주 제주시 화북일동 1017-2번지 B동,90.58,08월
밤은짧고요순살은맛있고맥주는차가워요,맥주/요리주점,33.515196,126.5803458,제주 제주시 도련일동 1971-4번지 2층,90.58,07월
오라동자담치킨,치킨,33.4882301,126.5119798,제주 제주시 오라이동 1479번지 1층,90.58,06월
김준호의대단한갈비 제주아라점,단품요리 전문,33.4764274,126.5447546,제주 제주시 아라일동 6103-7번지 1층,90.57,06월
옛날통닭물통광양점,치킨,33.4996823,126.535995,제주 제주시 이도이동 1134-8번지 1층,90.57,08월
조마루뼈다귀 일도지구점,단품요리 전문,33.5027155,126.5435408,제주 제주시 일도이동 52-8번지,90.57,03월
